no,location,date,total_cases,new_cases,total_deaths,new_deaths
1,Bangladesh,3/1/2021,546801,585,8416,8
2,Bangladesh,3/2/2021,547316,515,8423,7
3,Bangladesh,3/3/2021,547930,614,8428,5
4,Bangladesh,3/4/2021,548549,619,8435,7
5,Bangladesh,3/5/2021,549184,635,8441,6
6,Bangladesh,3/6/2021,549724,540,8451,10
7,Bangladesh,3/7/2021,550330,606,8462,11
8,Bangladesh,3/8/2021,551175,845,8476,14
9,Bangladesh,3/9/2021,552087,912,8489,13
10,Bangladesh,3/10/2021,553105,1018,8496,7
11,Bangladesh,3/11/2021,554156,1051,8502,6
12,Bangladesh,3/12/2021,555222,1066,8515,13
13,Bangladesh,3/13/2021,556236,1014,8527,12
14,Bangladesh,3/14/2021,557395,1159,8545,18
15,Bangladesh,3/15/2021,559168,1773,8571,26
16,Bangladesh,3/16/2021,560887,1719,8597,26
17,Bangladesh,3/17/2021,562752,1865,8608,11
18,Bangladesh,3/18/2021,564939,2187,8624,16
19,Bangladesh,3/19/2021,566838,1899,8642,18
20,Bangladesh,3/20/2021,568706,1868,8668,26
21,Bangladesh,3/21/2021,570878,2172,8690,22
22,Bangladesh,3/22/2021,573687,2809,8720,30
23,Bangladesh,3/23/2021,577241,3554,8738,18
24,Bangladesh,3/24/2021,580808,3567,8763,25
25,Bangladesh,3/25/2021,584395,3587,8797,34
26,Bangladesh,3/26/2021,588132,3737,8830,33
27,Bangladesh,3/27/2021,591806,3674,8869,39
28,Bangladesh,3/28/2021,595714,3908,8904,35
29,Bangladesh,3/29/2021,600895,5181,8949,45
30,Bangladesh,3/30/2021,605937,5042,8994,45
31,Bangladesh,3/31/2021,611295,5358,9046,52
32,Bangladesh,4/1/2021,617764,6469,9105,59
33,Bangladesh,4/2/2021,624594,6830,9155,50
34,Bangladesh,4/3/2021,630277,5683,9213,58
35,Bangladesh,4/4/2021,637364,7087,9266,53
36,Bangladesh,4/5/2021,644439,7075,9318,52
37,Bangladesh,4/6/2021,651652,7213,9384,66
38,Bangladesh,4/7/2021,659278,7626,9447,63
39,Bangladesh,4/8/2021,666132,6854,9521,74
40,Bangladesh,4/9/2021,673594,7462,9584,63
41,Bangladesh,4/10/2021,678937,5343,9661,77
42,Bangladesh,4/11/2021,684756,5819,9739,78
43,Bangladesh,4/12/2021,691957,7201,9822,83
44,Bangladesh,4/13/2021,697985,6028,9891,69
45,Bangladesh,4/14/2021,703170,5185,9987,96
46,Bangladesh,4/15/2021,707362,4192,10081,94
47,Bangladesh,4/16/2021,711779,4417,10182,101
48,Bangladesh,4/17/2021,715252,3473,10283,101
49,Bangladesh,4/18/2021,718950,3698,10385,102
50,Bangladesh,4/19/2021,723221,4271,10497,112
51,Bangladesh,4/20/2021,727780,4559,10588,91
52,Bangladesh,4/21/2021,732060,4280,10683,95
53,Bangladesh,4/22/2021,736074,4014,10781,98
54,Bangladesh,4/23/2021,739703,3629,10869,88
55,Bangladesh,4/24/2021,742400,2697,10952,83
56,Bangladesh,4/25/2021,745322,2922,11053,101
57,Bangladesh,4/26/2021,748628,3306,11150,97
58,Bangladesh,4/27/2021,751659,3031,11228,78
59,Bangladesh,4/28/2021,754614,2955,11305,77
60,Bangladesh,4/29/2021,756955,2341,11393,88
61,Bangladesh,4/30/2021,759132,2177,11450,57
62,Bangladesh,5/1/2021,760584,1452,11510,60
63,Bangladesh,5/2/2021,761943,1359,11579,69
64,Bangladesh,5/3/2021,763682,1739,11644,65
65,Bangladesh,5/4/2021,765596,1914,11705,61
66,Bangladesh,5/5/2021,767338,1742,11755,50
67,Bangladesh,5/6/2021,769160,1822,11796,41
68,,5/7/2021,770842,1682,11833,37
69,,5/8/2021,772127,1285,11878,45
70,,5/9/2021,773513,1386,11934,56
71,,5/10/2021,775027,1514,11972,38
72,,5/11/2021,776257,1230,11975,3
